"Ticker";"Qtd";"Valor R$ 31/12/2024";"Discriminação";"Cnpj"
"BRETT";5325.4331234377;"2170,15";"SALDO DE 5325,43312344 BRETT CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"XMR";1.8720935495;"1053,70";"SALDO DE 1,87209355 XMR CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"AERO";100.1192494298;"633,54";"SALDO DE 100,11924943 AERO CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"ETH";0.02910997;"322,09";"SALDO DE 0,02910997 ETH CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"RIO";50.9137920354;"294,23";"SALDO DE 50,91379204 RIO CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"PAAL";111.5732718534;"190,58";"SALDO DE 111,57327185 PAAL CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"USDT";7.00392e-05;"0,00";"SALDO DE 0,00007004 USDT CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"OSMO";6.568e-07;"0,00";"SALDO DE 0,00000066 OSMO CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"PENDLE";3.3e-09;"0,00";"SALDO DE 0 PENDLE CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"ONDO";9.2e-09;"0,00";"SALDO DE 0,00000001 ONDO CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"ADA";9.6e-09;"0,00";"SALDO DE 0,00000001 ADA CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"WIF";3.5e-09;"0,00";"SALDO DE 0 WIF CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"AXL";6.2e-09;"0,00";"SALDO DE 0,00000001 AXL CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"PORTAL";7.8e-09;"0,00";"SALDO DE 0,00000001 PORTAL CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"POPCAT";3e-09;"0,00";"SALDO DE 0 POPCAT CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"DOGE";5.3e-09;"0,00";"SALDO DE 0,00000001 DOGE CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"TRUMP";4e-10;"0,00";"SALDO DE 0 TRUMP CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"CET";6.4e-09;"0,00";"SALDO DE 0,00000001 CET CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"ZIG";4e-09;"0,00";"SALDO DE 0 ZIG CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"DNT";3.1e-09;"0,00";"SALDO DE 0 DNT CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"SOLAMA";8.5e-09;"0,00";"SALDO DE 0,00000001 SOLAMA CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"BABYDOGE";0.008964;"0,00";"SALDO DE 0,008964 BABYDOGE CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"DEGEN";2.3e-09;"0,00";"SALDO DE 0 DEGEN CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"FLOKI";8.6e-09;"0,00";"SALDO DE 0,00000001 FLOKI CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"TOSHI";9.1e-09;"0,00";"SALDO DE 0,00000001 TOSHI CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"MAGA";8e-09;"0,00";"SALDO DE 0,00000001 MAGA CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"COQ";8.6e-09;"0,00";"SALDO DE 0,00000001 COQ CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"ATOR";2e-08;"0,00";"SALDO DE 0,00000002 ATOR CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"MFER#2001";4.1e-09;"0,00";"SALDO DE 0 MFER#2001 CUSTODIADO NA EXCHANGE COINEX EM 31/12/2024.";""
"DOT";915.40709513;"19772,62";"SALDO DE 915,40709513 DOT CUSTODIADO NA EXCHANGE MERCADO BITCOIN EM 31/12/2024.";""
"XRP";1122.39803263;"5250,41";"SALDO DE 1122,39803263 XRP CUSTODIADO NA EXCHANGE MERCADO BITCOIN EM 31/12/2024.";""
"SOL";11.13023388;"15863,68";"SALDO DE 11,13023388 SOL CUSTODIADO NA EXCHANGE MERCADO BITCOIN EM 31/12/2024.";""
"BTC";0.02040882;"3842,29";"SALDO DE 0,02040882 BTC CUSTODIADO NA EXCHANGE MERCADO BITCOIN EM 31/12/2024.";""
"ETH";0.34119532;"3775,13";"SALDO DE 0,34119532 ETH CUSTODIADO NA EXCHANGE MERCADO BITCOIN EM 31/12/2024.";""
"MATIC";2275.36615642;"5118,36";"SALDO DE 2275,36615642 MATIC CUSTODIADO NA EXCHANGE MERCADO BITCOIN EM 31/12/2024.";""
"TIA";164.81585826;"7269,45";"SALDO DE 164,81585826 TIA CUSTODIADO NA EXCHANGE MERCADO BITCOIN EM 31/12/2024.";""
"NEAR";128.99393482;"2721,33";"SALDO DE 128,99393482 NEAR CUSTODIADO NA EXCHANGE MERCADO BITCOIN EM 31/12/2024.";""
"FET";485.80215018;"4185,92";"SALDO DE 485,80215018 FET CUSTODIADO NA EXCHANGE MERCADO BITCOIN EM 31/12/2024.";""
"POPCAT";114.28783443;"1000,00";"SALDO DE 114,28783443 POPCAT CUSTODIADO NA EXCHANGE MERCADO BITCOIN EM 31/12/2024.";""
"MKR";0.00588869;"55,44";"SALDO DE 0,00588869 MKR CUSTODIADO NA EXCHANGE MERCADO BITCOIN EM 31/12/2024.";""
"ATOM";1.39614017;"35,82";"SALDO DE 1,39614017 ATOM CUSTODIADO NA EXCHANGE MERCADO BITCOIN EM 31/12/2024.";""
"BRL";0.00244795;"0,00";"SALDO DE 0,00244795 BRL CUSTODIADO NA EXCHANGE MERCADO BITCOIN EM 31/12/2024.";""
"PEPE";4.5e-07;"0,00";"SALDO DE 0,00000045 PEPE CUSTODIADO NA EXCHANGE MERCADO BITCOIN EM 31/12/2024.";""
"ETH";5.633516;"62331,63";"SALDO DE 5,633516 ETH CUSTODIADO NA EXCHANGE MERCADO BITCOIN EM 31/12/2024.";""
"ETH";0.0099720324;"110,33";"SALDO DE 0,00997203 ETH CUSTODIADO NA CARTEIRA METAMASK NA REDE ARBITRUM EM 31/12/2024.";""
"USDT";15.891125;"61,54";"SALDO DE 15,891125 USDT CUSTODIADO NA CARTEIRA METAMASK NA REDE ARBITRUM EM 31/12/2024.";""
"UNI-V3-POS#3269639";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3269639 CUSTODIADO NA CARTEIRA METAMASK NA REDE ARBITRUM EM 31/12/2024.";""
"UNI-V3-POS#3269857";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3269857 CUSTODIADO NA CARTEIRA METAMASK NA REDE ARBITRUM EM 31/12/2024.";""
"EVEV2#11705";1.0;"0,00";"SALDO DE 1 EVEV2#11705 CUSTODIADO NA CARTEIRA METAMASK NA REDE ARBITRUM EM 31/12/2024.";""
"UNI-V3-POS-3269857-LIQUIDITY";0.000724568170888358;"337,32";"SALDO DE 0,00072457 UNI-V3-POS-3269857-LIQUIDITY CUSTODIADO NA CARTEIRA METAMASK NA REDE ARBITRUM EM 31/12/2024.";""
"BNB";0.0156283149;"35,87";"SALDO DE 0,01562831 BNB CUSTODIADO NA EXCHANGE BINANCE EM 31/12/2024.";""
"ETH";0.2103125991;"2326,99";"SALDO DE 0,2103126 ETH CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM 0x8cB0 EM 31/12/2024.";""
"SHIDO";947400.5668129053;"395,42";"SALDO DE 947400,56681291 SHIDO CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM 0x8cB0 EM 31/12/2024.";""
"STRUMP";10623.434172451;"465,22";"SALDO DE 10623,43417245 STRUMP CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM 0x8cB0 EM 31/12/2024.";""
"TOTO";5995722732.594186;"431,25";"SALDO DE 5995722732,59418583 TOTO CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM 0x8cB0 EM 31/12/2024.";""
"LIME";0.000785319;"3369,75";"SALDO DE 0,00078532 LIME CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM 0x8cB0 EM 31/12/2024.";""
"WETH";1e-10;"0,00";"SALDO DE 0 WETH CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM 0x8cB0 EM 31/12/2024.";""
"WLFI";17689.52676;"1049,13";"SALDO DE 17689,52676 WLFI CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM 0x8cB0 EM 31/12/2024.";""
"ETH";0.0249012037;"275,52";"SALDO DE 0,0249012 ETH CUSTODIADO NA CARTEIRA METAMASK NA REDE OPTIMISM 0x8cB0 EM 31/12/2024.";""
"EVEV2#11705";1.0;"0,00";"SALDO DE 1 EVEV2#11705 CUSTODIADO NA CARTEIRA METAMASK NA REDE OPTIMISM 0x8cB0 EM 31/12/2024.";""
"WBTC";0.00163427;"732,75";"SALDO DE 0,00163427 WBTC CUSTODIADO NA CARTEIRA METAMASK NA REDE POLYGON 0x8cB0 EM 31/12/2024.";""
"MATIC";37.5308039546;"84,42";"SALDO DE 37,53080395 MATIC CUSTODIADO NA CARTEIRA METAMASK NA REDE POLYGON 0x8cB0 EM 31/12/2024.";""
"UNI-V3-POS#1950117";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#1950117 CUSTODIADO NA CARTEIRA METAMASK NA REDE POLYGON 0x8cB0 EM 31/12/2024.";""
"UNI-V3-POS#1950156";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#1950156 CUSTODIADO NA CARTEIRA METAMASK NA REDE POLYGON 0x8cB0 EM 31/12/2024.";""
"UNI-V3-POS-1950156-LIQUIDITY";0.000632510977824348;"2010,61";"SALDO DE 0,00063251 UNI-V3-POS-1950156-LIQUIDITY CUSTODIADO NA CARTEIRA METAMASK NA REDE POLYGON 0x8cB0 EM 31/12/2024.";""
"MKR";3.026;"28487,46";"SALDO DE 3,026 MKR CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM 0x9B7c EM 31/12/2024.";""
"LINK";208.60345933;"14754,44";"SALDO DE 208,60345933 LINK CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM 0x9B7c EM 31/12/2024.";""
"MATIC";94.2831528818;"212,09";"SALDO DE 94,28315288 MATIC CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM 0x9B7c EM 31/12/2024.";""
