"asset";"total_quantity";"total_cost_brl";"total_value_brl";"description"
"USDC-APT (LiquidLP-USDC-APT-U)";13.670578;0.0;0.0;"@ R$0.00 per USDC-APT"
"UNI-V3-POS-1619323-LIQUIDITY (UNI-V3-POS-";9.95637431;258.43;0.0;"@ R$0.00 per UNI-V3-POS-1619323-LIQUIDITY"
"NEXG (NexGami)";3.8317476;0.0;0.0;"@ R$0.00 per NEXG"
"AERO-CL-POS#1161712 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#1161947 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#1161962 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#1324843 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#1325224 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#1343087 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#1344608 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#1350555 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#1500902 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#1541619 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#372599 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#372823 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#384494 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#385284 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#409546 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#418590 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#429863 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#434387 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
