"asset";"total_quantity";"total_cost_brl";"total_value_brl";"description"
"PORTAL (Portal)";1e-08;0.0;0.0;"@ R$1.89 per PORTAL"
"CET (CoinEx Token)";1e-08;0.0;0.0;"@ R$0.58 per CET"
"SOLAMA (Solama)";1e-08;0.0;0.0;"@ R$0.05 per SOLAMA"
"BABYDOGE (Baby Doge Coin)";0.008964;0.0;0.0;"@ R$0.00 per BABYDOGE"
"MAGA (MAGA)";1e-08;0.0;0.0;"@ R$0.00 per MAGA"
"COQ (Coq Inu)";1e-08;0.0;0.0;"@ R$0.00 per COQ"
"VST (VentiSwap Token)";100000.0;0.0;0.0;"@ R$0.00 per VST"
"WLFI ((REAL) World Libe...)";17689.52676;1049.13;0.0;"@ R$0.00 per WLFI"
"TONCOIN (Wrapped TON Coin)";122.547;3413.89;0.0;"@ R$0.00 per TONCOIN"
"EVEV2#11705 (Early Horizon Bad...)";1.0;0.0;0.0;"@ R$0.00 per EVEV2"
"UNI-V3-POS#1816243 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1819097 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1950117 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1950156 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#3269639 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#3269857 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#724697 (Uniswap V3: Posit...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#730600 (Uniswap V3: Posit...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#732647 (Uniswap V3: Posit...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS-3269857-LIQUIDITY (UNI-V3-POS-";0.00072457;337.32;0.0;"@ R$0.00 per UNI-V3-POS-3269857-LIQUIDITY"
"UNI-V3-POS-1950156-LIQUIDITY (UNI-V3-POS-";0.00063251;2010.61;0.0;"@ R$0.00 per UNI-V3-POS-1950156-LIQUIDITY"
"ATOR (Airtor Protocol)";2e-08;0.0;0.0;"@ R$0.00 per ATOR"
