"Ticker";"Qtd";"Valor R$ 31/12/2024";"Discriminação";"Cnpj"
"UNI-V3-POS#3453865";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3453865 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3453882";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3453882 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3453899";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3453899 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3453918";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3453918 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3454011";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3454011 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3455981";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3455981 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3456025";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3456025 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3456147";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3456147 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3456253";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3456253 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3459398";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3459398 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3459420";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3459420 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3460507";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3460507 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3460522";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3460522 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3463957";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3463957 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3464997";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3464997 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
